ID,Review Date,Location,Hotel/Restaurant name,Processed_review,Location_Hotel
rn558291489,"Reviewed February 4, 2018 ", Phuket Town,Surf and Turf by Soul Kitchen,last wednesday evening really cat dog old phuket town happen stumble upon surf turf see bit refuge rain close inspection place look cool atmospheric stylish sit, Phuket Town_Surf and Turf by Soul Kitchen
rn556670897,"Reviewed January 27, 2018 ", Phuket Town,Surf and Turf by Soul Kitchen,thank really nice food sevice dish grest saffron risotto see next time phuket, Phuket Town_Surf and Turf by Soul Kitchen
rn554937742,"Reviewed January 20, 2018 ", Phuket Town,Surf and Turf by Soul Kitchen,even though wait pretty long food come worth portion bit small order another dish also delicious combination italian dish thai element, Phuket Town_Surf and Turf by Soul Kitchen
rn553921305,"Reviewed January 15, 2018 ", Phuket Town,Surf and Turf by Soul Kitchen,restaurant menu outside enter ask card look sit dinner waitress really rude say card menu customer, Phuket Town_Surf and Turf by Soul Kitchen
rn552679027,"Reviewed January 9, 2018 ", Phuket Town,Surf and Turf by Soul Kitchen,phuket town foodie restaurant must visit beautiful food european food thai twist, Phuket Town_Surf and Turf by Soul Kitchen
rn551690999,"Reviewed January 5, 2018 ", Phuket Town,Surf and Turf by Soul Kitchen,say enough place eat miss beef taco fantastic would eat everyday could, Phuket Town_Surf and Turf by Soul Kitchen
rn551212611,"Reviewed January 3, 2018 ", Phuket Town,Surf and Turf by Soul Kitchen,thai friend take dinner restaurant recent christmas vacation everything eat delicious huge fan taco beef beef tacos leave want return restaurant, Phuket Town_Surf and Turf by Soul Kitchen
rn548041430,"Reviewed December 19, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,get try seabass thai basil risotto good thing eat entire vacation thailand, Phuket Town_Surf and Turf by Soul Kitchen
rn547827859,"Reviewed December 18, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,food z n g partner go back two day later nothing else would nearly good enough compare restaurant atmosphere chill restaurant incredible vibe appatizer share, Phuket Town_Surf and Turf by Soul Kitchen
rn547822764,"Reviewed December 18, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,resturant serve fine meal fair prise get pay visit phuket without eat sin perfect location broad variation different dish drink look nice eveningmeal look, Phuket Town_Surf and Turf by Soul Kitchen
rn547491118,"Reviewed December 16, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,food amazing people extremely friendly surf n trurf good second time, Phuket Town_Surf and Turf by Soul Kitchen
rn547450614,"Reviewed December 15, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,nice great food place small worth money must try alot thai local people baby friendly, Phuket Town_Surf and Turf by Soul Kitchen
rn546717988,"Reviewed December 11, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,small restaurant create food combination feel like add thai ingredient chilli europian food style dish try also nice food styling, Phuket Town_Surf and Turf by Soul Kitchen
rn545510063,"Reviewed December 6, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,superior interesting cuisine highly recommend incredibly inexpensive quality food se asia week favorite meal, Phuket Town_Surf and Turf by Soul Kitchen
rn545402400,"Reviewed December 5, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,surf turf hubbie chicken paprika solid meal great flavor good execution hope thai influence meal good, Phuket Town_Surf and Turf by Soul Kitchen
rn544013970,"Reviewed November 29, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,several time chef tom pang never disappoint flavor achieve impressive adventurous good phuket town, Phuket Town_Surf and Turf by Soul Kitchen
rn543296380,"Reviewed November 26, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,excellent dining experince good food definitely come back often difficult make reservation try call answer send email never respond walk inmore, Phuket Town_Surf and Turf by Soul Kitchen
rn543259138,"Reviewed November 25, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,absolutely superb food every single dish amazing try almost everything menu delicious, Phuket Town_Surf and Turf by Soul Kitchen
rn542915542,"Reviewed November 23, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,visit whilst stay phuket boyfriend enjoy much agree one early post feel like eat michelin star restaurant taco tuna tartar tuna pizza start main, Phuket Town_Surf and Turf by Soul Kitchen
rn542412198,"Reviewed November 21, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,return month please food wonderful presentation taste flavor really recommend course right forgot photograph desert busy enjoy, Phuket Town_Surf and Turf by Soul Kitchen
rn540371081,"Reviewed November 12, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,real hidden gem simple small menu unfussy restaurant need lot choice food good good meal probably ever thailand lamb massuman far away usual thai, Phuket Town_Surf and Turf by Soul Kitchen
rn531654994,"Reviewed October 10, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,try eat desperate evening restaurant suppose open every time restaurant close although sure comment food get chance try, Phuket Town_Surf and Turf by Soul Kitchen
rn531357773,"Reviewed October 9, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,dish well prepared taste look would like recommend yellow fin tuna pizza grill seabass owner serve every dish friendly come back everytime go phuket, Phuket Town_Surf and Turf by Soul Kitchen
rn526290168,"Reviewed September 21, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,food good year real soulfood taste love definetely worth visit phuket friendly service great ambience great chef also great price performance ratio come back, Phuket Town_Surf and Turf by Soul Kitchen
rn523448819,"Reviewed September 11, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,smallish cafe like restaurant prompt friendly english speak service australian lamb medallion together french red wine good cost b net, Phuket Town_Surf and Turf by Soul Kitchen
rn520475726,"Reviewed September 2, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,last night thailand decide try special dinner seriously without question phenomenal food presentation ambiance wrap together fair price vegetarian beef fish dish owe eat, Phuket Town_Surf and Turf by Soul Kitchen
rn520475127,"Reviewed September 2, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,unbelievable food think experience michelin restaurant food exceptional sweet potato ravioli favorite love quaint hip atmosphere view kitchen, Phuket Town_Surf and Turf by Soul Kitchen
rn516140805,"Reviewed August 21, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,gem place locate heart phuket town moment walk pang smile welcome place chef tom young innovative chef always create beautiful flavorful dish miss chef table, Phuket Town_Surf and Turf by Soul Kitchen
rn509020891,"Reviewed August 5, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,wow great find impressed chef imagination presentation fine dining experience reasonable price, Phuket Town_Surf and Turf by Soul Kitchen
rn506317270,"Reviewed July 27, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,place always favorite place dinner could come alone funny friend happy family get together every single dish never disappoint would love share place every one try, Phuket Town_Surf and Turf by Soul Kitchen
rn502782129,"Reviewed July 17, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,wow food incredible mine gf first meal phuket definitely top meal eat throughout thailand foodie like live eat delicious food head, Phuket Town_Surf and Turf by Soul Kitchen
rn501254487,"Reviewed July 12, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,visit yesterday find close restaurant visit today afternoon still closed open time pm kind challenge something third time succeed taste seabass soup, Phuket Town_Surf and Turf by Soul Kitchen
rn499613917,"Reviewed July 8, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,excellent service quality food though little disappointed thing originally want menu advise minute wait dessert though understandable restaurant full, Phuket Town_Surf and Turf by Soul Kitchen
rn499067321,"Reviewed July 6, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,dinner daughter make reservation clock evening arrive table ready appetiser maincourse service good also food small portion many people, Phuket Town_Surf and Turf by Soul Kitchen
rn498405662,"Reviewed July 3, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,visit phuket day eat find restaurant trip advisor although little expensive thailand standard well tasting food ever much return, Phuket Town_Surf and Turf by Soul Kitchen
rn495806151,"Reviewed June 25, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,love visit surf turf food good phuket great price staff lovely, Phuket Town_Surf and Turf by Soul Kitchen
rn491470249,"Reviewed June 8, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,swerve couple name restaurant phuket town favour cute little place wow food amazing every bit good star restaurant bangkok chef cook passion watch window, Phuket Town_Surf and Turf by Soul Kitchen
rn489243923,"Reviewed May 30, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,restaurant small cosy restaurant casual dining food absolutely delicious would come without doubt food serve western twist thai cuisine spice sauce order, Phuket Town_Surf and Turf by Soul Kitchen
rn487826673,"Reviewed May 25, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,big portion follow rule much menu well duck dish sea bass melt mouth fantastic flavour excellent one, Phuket Town_Surf and Turf by Soul Kitchen
rn485497947,"Reviewed May 18, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,book three seat table family food look nice decoration taste good vegetarian starter mushroom tacos chef salad tuna tartar main dish sea bass pork chop honey chicken, Phuket Town_Surf and Turf by Soul Kitchen
rn485172806,"Reviewed May 17, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,read rave review decide try restaurantsmall stylish intimate road hotelthe food beyond good would home great world citythe marriage ingredient flavour unbelievable, Phuket Town_Surf and Turf by Soul Kitchen
rn484429690,"Reviewed May 15, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,last night phuket want make sure great meal read review decide try spot glad place small suggest call make reservation chef, Phuket Town_Surf and Turf by Soul Kitchen
rn481109364,"Reviewed May 2, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,little bistroabout table may call reserve table truly recommend meat homemade ravioli salad puff grill beef cube surely back try taco soooon, Phuket Town_Surf and Turf by Soul Kitchen
rn479591645,"Reviewed April 27, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,go base review tripadvisor love much make another trip phuket city eat place run husband wife team husband cook wife front house, Phuket Town_Surf and Turf by Soul Kitchen
rn473380506,"Reviewed April 7, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,partner come dinner order mushroom taco start surf turf main parter sweet potato ravioli matcha fondant dessert amazing probably one, Phuket Town_Surf and Turf by Soul Kitchen
rn471001325,"Reviewed March 28, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,wander around old town look supper spot come across unassume little bistro food worthy star restaurant anywhere else world price like upscale burger bar, Phuket Town_Surf and Turf by Soul Kitchen
rn470593746,"Reviewed March 27, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,stubble across little restaurant look another restaurant incidentally close outside restaurant look like many however thing really stand quality taste food funky artwork dot, Phuket Town_Surf and Turf by Soul Kitchen
rn462808326,"Reviewed February 25, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,clear chef enjoy cooking every dish craft look good taste whether chef formal culinary training dish creative bold flavor full heart, Phuket Town_Surf and Turf by Soul Kitchen
rn460885945,"Reviewed February 18, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,initially bit disappointed size dish give star anyway taste amazing grow hungry man expect buy least starter well, Phuket Town_Surf and Turf by Soul Kitchen
rn460042285,"Reviewed February 15, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,plate blow mind flavour delicacy every bite absolutely delicious art surf turf come enjoy, Phuket Town_Surf and Turf by Soul Kitchen
rn457868439,"Reviewed February 7, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,spend close week honestly say eat food thailand offer spend last day phuket come across restaurant tripadvisor blow away restaurant, Phuket Town_Surf and Turf by Soul Kitchen
rn457208157,"Reviewed February 4, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,place modern feel waitress attentive friendly food could well sea bass cook perfection lovely accompaniment would hesitate recommend place, Phuket Town_Surf and Turf by Soul Kitchen
rn456139372,"Reviewed January 31, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,wife combination fish steak dish pair local craft beer absolutely superb yes price little high usual thailand get lovely gourmet food criticism serve, Phuket Town_Surf and Turf by Soul Kitchen
rn456025155,"Reviewed January 30, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,vegetarian initially hard time phuket find place chef flexible make delicious veggie taco risotto good wine beer selection nice atmosphere friendly waitress highly recommend, Phuket Town_Surf and Turf by Soul Kitchen
rn455876141,"Reviewed January 30, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,excellent food try tuna steak different delicious accept cash enjoy nice food, Phuket Town_Surf and Turf by Soul Kitchen
rn455510214,"Reviewed January 28, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,great food great price must visit phuket quite lil spot make second guest, Phuket Town_Surf and Turf by Soul Kitchen
rn453763865,"Reviewed January 21, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,awesome food incredibly delicious price quality also spot perhaps could add sweet white wine wine card must visit everybody phuket old town thank, Phuket Town_Surf and Turf by Soul Kitchen
rn453468118,"Reviewed January 19, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,really well food lot flavour look really well plate exclusive food mcdonald price home try price range bb dish around, Phuket Town_Surf and Turf by Soul Kitchen
rn453079851,"Reviewed January 18, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,nice bistrot try really quiet place interesting alternative international kitchen well problem dish could nice experience chef nice german guy invent strange combination italian influence lamb really good, Phuket Town_Surf and Turf by Soul Kitchen
rn452400495,"Reviewed January 16, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,although read good review place still genuinely surprised good food restaurant small almost empty arrive reason make slightly doubtful however surf turf around baht, Phuket Town_Surf and Turf by Soul Kitchen
rn448404534,"Reviewed January 1, 2017 ", Phuket Town,Surf and Turf by Soul Kitchen,one amazing flavor taste heart soul chef put exquisite dish new york would expect pay lot well craft dish price high visit phuket, Phuket Town_Surf and Turf by Soul Kitchen
rn447404673,"Reviewed December 29, 2016 ", Phuket Town,Surf and Turf by Soul Kitchen,delicious food miss visit little gem yes small compromise make term surrounding think relaxed cafe opulent restaurant well worth food star show, Phuket Town_Surf and Turf by Soul Kitchen
rn447055416,"Reviewed December 27, 2016 ", Phuket Town,Surf and Turf by Soul Kitchen,whife last night place recomende trip advisor expect good food good international cousine twist thai cousine twist orderd beef taco, Phuket Town_Surf and Turf by Soul Kitchen
rn446189254,"Reviewed December 22, 2016 ", Phuket Town,Surf and Turf by Soul Kitchen,two dinner good thailand difference dish cheap put food mouth understand pay pay recommend, Phuket Town_Surf and Turf by Soul Kitchen
rn443730347,"Reviewed December 12, 2016 ", Phuket Town,Surf and Turf by Soul Kitchen,fantastic food full amazing flavor prepare hand tom pour fantasy plate youyouyouyouyou, Phuket Town_Surf and Turf by Soul Kitchen
rn442303907,"Reviewed December 5, 2016 ", Phuket Town,Surf and Turf by Soul Kitchen,visit surf turf locate heart pukhet town impressed standard food serviceone nice european food try definitely visit, Phuket Town_Surf and Turf by Soul Kitchen
rn441603253,"Reviewed December 2, 2016 ", Phuket Town,Surf and Turf by Soul Kitchen,like day night hip funky restaurant make impression easy dine small snack modern beat background expect something different serve food easy dine perfect creative fusion cuisine lot, Phuket Town_Surf and Turf by Soul Kitchen
rn440064734,"Reviewed November 26, 2016 ", Phuket Town,Surf and Turf by Soul Kitchen,much wrong excellent service warm professional unlikely find level phuket limited menu well execute least dish lot way side starter big hungry post main, Phuket Town_Surf and Turf by Soul Kitchen
rn439501962,"Reviewed November 23, 2016 ", Phuket Town,Surf and Turf by Soul Kitchen,guy arrive late ingredient finish chef proper chef work fresh ingrdient hence decide let chef special select type fish want, Phuket Town_Surf and Turf by Soul Kitchen
rn438956069,"Reviewed November 21, 2016 ", Phuket Town,Surf and Turf by Soul Kitchen,first time nice food drink good service well, Phuket Town_Surf and Turf by Soul Kitchen
rn438941003,"Reviewed November 21, 2016 ", Phuket Town,Surf and Turf by Soul Kitchen,place asia year say find place eat european food restaurant really nice atmosphere painting remind bit berlin place food food wonderful everything, Phuket Town_Surf and Turf by Soul Kitchen
rn438034253,"Reviewed November 17, 2016 ", Phuket Town,Surf and Turf by Soul Kitchen,super food great price enjoy balance flavour would really recommend place must try thank beautiful meal, Phuket Town_Surf and Turf by Soul Kitchen
rn437952421,"Reviewed November 16, 2016 ", Phuket Town,Surf and Turf by Soul Kitchen,food soul kitchen brilliant kind would expect find high end restaurant clever mix thai european flavour accompany great presentation make sure try cucumber mint soup starter relaxed atmosphere, Phuket Town_Surf and Turf by Soul Kitchen
rn436029085,"Reviewed November 9, 2016 ", Phuket Town,Surf and Turf by Soul Kitchen,friend go place couple time love food amazing wait make another visit, Phuket Town_Surf and Turf by Soul Kitchen
rn435537731,"Reviewed November 8, 2016 ", Phuket Town,Surf and Turf by Soul Kitchen,dine time keep get well well chef work michelin restaurant europe cook private yacht decide make phuket homevery friendly guy share story, Phuket Town_Surf and Turf by Soul Kitchen
rn435236862,"Reviewed November 6, 2016 ", Phuket Town,Surf and Turf by Soul Kitchen,big fan western food boyfriend crave place turn first time enjoy western food never enough, Phuket Town_Surf and Turf by Soul Kitchen
rn433535968,"Reviewed November 1, 2016 ", Phuket Town,Surf and Turf by Soul Kitchen,high quality ingredient excellent fusion flavour brilliant service visit surf turf dinner last weekend impressed meal partner surf turf lobster special beautifully cook present request, Phuket Town_Surf and Turf by Soul Kitchen
rn432160348,"Reviewed October 27, 2016 ", Phuket Town,Surf and Turf by Soul Kitchen,meal three husband steak ask rate say really nice son sea bass risotto love son like, Phuket Town_Surf and Turf by Soul Kitchen
rn429638322,"Reviewed October 19, 2016 ", Phuket Town,Surf and Turf by Soul Kitchen,long stumble across something special food absolutely mind blow think heston type understanding art plate frozen cucumber mint soup fresh puff saladand grill beef cube flavour, Phuket Town_Surf and Turf by Soul Kitchen
rn423351707,"Reviewed September 28, 2016 ", Phuket Town,Surf and Turf by Soul Kitchen,live phuket return surf turf regularly know never disappoint like interior much artistry wall lovely plate try everything menu yet, Phuket Town_Surf and Turf by Soul Kitchen
rn422500184,"Reviewed September 26, 2016 ", Phuket Town,Surf and Turf by Soul Kitchen,lovely spot delicious food great service fish crab fresh tasty would definitely return, Phuket Town_Surf and Turf by Soul Kitchen
rn404099280,"Reviewed August 11, 2016 ", Phuket Town,Surf and Turf by Soul Kitchen,think would give try great review ta overall happy dinner great ambiance great service even though staff voluntary night due normal staff ill great food willbe back, Phuket Town_Surf and Turf by Soul Kitchen
rn401948004,"Reviewed August 6, 2016 ", Phuket Town,Surf and Turf by Soul Kitchen,stumble across venue search something eat fairly late place busy air con mean need get near fan place normally hot menu, Phuket Town_Surf and Turf by Soul Kitchen
rn400799159,"Reviewed August 3, 2016 ", Phuket Town,Surf and Turf by Soul Kitchen,surf turf dish die mousse au chocolate incredible food taste great place nice authentic feel chef tom nice guy recommend nice restaurant, Phuket Town_Surf and Turf by Soul Kitchen
rn397918240,"Reviewed July 27, 2016 ", Phuket Town,Surf and Turf by Soul Kitchen,usually go need light healthy meal still enjoy full taste delicious dish come grill sea brass spinach beautiful sauce oh tasty friend also, Phuket Town_Surf and Turf by Soul Kitchen
rn580388486,Reviewed 5 days ago , Karon,Pad Thai Shop,go thai shop good chicken pad thai fried rice also delicious meal entree water affordable us dollar know good see lot, Karon_Pad Thai Shop
rn578276607,Reviewed 2 weeks ago , Karon,Pad Thai Shop,introduce pad thai shop extended visit year ago regular lunch spot every visit yes rustic yes wait yes seating challenge charm place, Karon_Pad Thai Shop
rn576364490,Reviewed 3 weeks ago , Karon,Pad Thai Shop,look super good pad thai shop everyone area love go well look far spot order kitchen grab free bowl chicken soup perfect afternoon rain, Karon_Pad Thai Shop
rn575366715,Reviewed 3 weeks ago , Karon,Pad Thai Shop,come phuket wonderful island year come long sure remember family use sell mango bamboo stall front home dog run, Karon_Pad Thai Shop
rn573201692,"Reviewed April 13, 2018 ", Karon,Pad Thai Shop,westerner first visit bit bewildered help friendly staff customer good cheap flavoursome food baht lunch drink people, Karon_Pad Thai Shop
rn570754343,"Reviewed April 3, 2018 ", Karon,Pad Thai Shop,place exactly wife amd search phuket authentic mild sweetness un westernise thai food top cheap order chicken fry rice chicken pad thai good meal far, Karon_Pad Thai Shop
rn569589653,"Reviewed March 29, 2018 ", Karon,Pad Thai Shop,yes poplular place lot people eat wait time long find table challenge peak hour ok one visit taste bit hit miss say, Karon_Pad Thai Shop
rn568886929,"Reviewed March 26, 2018 ", Karon,Pad Thai Shop,little place opinion good pad thai phuket look like much outside dish provide great flavor folk run place engaging helpful wait, Karon_Pad Thai Shop
rn568824750,"Reviewed March 26, 2018 ", Karon,Pad Thai Shop,pilgrimage karon hill foodie great pad thai think well thip samai bangkok also famous stew dish stock amazing pot gold maintain year, Karon_Pad Thai Shop
rn568811859,"Reviewed March 26, 2018 ", Karon,Pad Thai Shop,place cheap great lunch dish baht early thing tend sell day, Karon_Pad Thai Shop
rn568053195,"Reviewed March 22, 2018 ", Karon,Pad Thai Shop,realise popular place probably need write review food good really friendly staff amazing food cheap well end go time thing add, Karon_Pad Thai Shop
rn568027762,"Reviewed March 22, 2018 ", Karon,Pad Thai Shop,visit restaurant lunch small place max capacity people fairly busy go able find table service good menu extensive lot variety, Karon_Pad Thai Shop
rn565480840,"Reviewed March 9, 2018 ", Karon,Pad Thai Shop,tell spot one thai guide go every chance get braise beef soup pad thai die b buy beer across street bring, Karon_Pad Thai Shop
rn565198847,"Reviewed March 7, 2018 ", Karon,Pad Thai Shop,small great restaurant fast tasy local food though location really convenient need catch typical noodle soup famous delicious staff helpful also cheap arround locak price highly recommend, Karon_Pad Thai Shop
rn564346366,"Reviewed March 4, 2018 ", Karon,Pad Thai Shop,favor find place little away beach little hill unassuming space wife blow away pad thai first delicious pad thai, Karon_Pad Thai Shop
rn563169715,"Reviewed February 27, 2018 ", Karon,Pad Thai Shop,stay around kata beach might bit trek get consider metered taxi around stay mile away minute walk believe close, Karon_Pad Thai Shop
rn563060033,"Reviewed February 26, 2018 ", Karon,Pad Thai Shop,order braised beef soup pad thai excellent portion large expect great food great price, Karon_Pad Thai Shop
rn562968864,"Reviewed February 26, 2018 ", Karon,Pad Thai Shop,find place tripadvisor since good review near stay completely exceed expectation restaurant little shack food take minute come super, Karon_Pad Thai Shop
rn562931069,"Reviewed February 26, 2018 ", Karon,Pad Thai Shop,pop pad thai see fair way town nice walk sun amazing since read review people complain crowded wait, Karon_Pad Thai Shop
rn562815761,"Reviewed February 25, 2018 ", Karon,Pad Thai Shop,minute walk beach place full noon half local half tourist pad thai food half price tourist catering restaurant pad thai excellent limited amount exotic option also free chicken, Karon_Pad Thai Shop
rn562229969,"Reviewed February 22, 2018 ", Karon,Pad Thai Shop,wait age food busy full local tourist good reason cheap get free much want chicken soup good pad thai good, Karon_Pad Thai Shop
rn562226096,"Reviewed February 22, 2018 ", Karon,Pad Thai Shop,hole wall shop good pad thai cost baht plate good baht spend food lot local eat walk minute hot sun, Karon_Pad Thai Shop
rn560272975,"Reviewed February 13, 2018 ", Karon,Pad Thai Shop,love explore way place whilst main road karon beat tourist trap road simple roadside shack type place local place local people baht dish, Karon_Pad Thai Shop
rn560266568,"Reviewed February 13, 2018 ", Karon,Pad Thai Shop,fantastic service exactly say tin soup nice touch really recommend worth note place close pm sure miss, Karon_Pad Thai Shop
rn560158025,"Reviewed February 12, 2018 ", Karon,Pad Thai Shop,arrive around pm restaurant shut thank god get time much leave menu dish bother prawn pad thai chicken sauce, Karon_Pad Thai Shop
rn559991478,"Reviewed February 12, 2018 ", Karon,Pad Thai Shop,might seem strange little food shack world renowne often feature tour guide focus phuket get dive rural homey atmosphere little eatery understand price insanely low, Karon_Pad Thai Shop
rn559359425,"Reviewed February 9, 2018 ", Karon,Pad Thai Shop,cost baht without doubt good pad thai ever cost baht anybody complain place need remember always busy go everyday week moment, Karon_Pad Thai Shop
rn558978442,"Reviewed February 7, 2018 ", Karon,Pad Thai Shop,get close one night noodle soup glad go bum get pad thai would go back get whatever, Karon_Pad Thai Shop
rn558537764,"Reviewed February 5, 2018 ", Karon,Pad Thai Shop,hard find unique place like around kata beach local try grab table prepare flavor make thank tripadvisor exist fyoufyouyou, Karon_Pad Thai Shop
rn557875119,"Reviewed February 2, 2018 ", Karon,Pad Thai Shop,food delicio crowd may wait half hour price low like chicken ball, Karon_Pad Thai Shop
rn556613130,"Reviewed January 26, 2018 ", Karon,Pad Thai Shop,good pad thai ever must karon friendly staff great service authentic feel cheap food, Karon_Pad Thai Shop
rn556069660,"Reviewed January 24, 2018 ", Karon,Pad Thai Shop,full local always good sign excellent food friendly service pad thai chicken, Karon_Pad Thai Shop
rn555899579,"Reviewed January 23, 2018 ", Karon,Pad Thai Shop,trek around thailand month pad thai almost everywhere go honestly say tasty pad thai entire trip portion large cheap taste spectacular shop simple, Karon_Pad Thai Shop
